"1","Kamera Terminal Bawen 1","7",,"http://203.130.228.60:83/","1","bw1"
"2","Kamera Terminal Bawen 2","7",,"http://203.130.228.60:84/","1","bw2"
"3","Kamera Terminal Bawen 3","7","-","http://203.130.228.60:85/","1","bw3"
"4","Kamera Terminal Bawen 4","7","-","http://203.130.228.60:8008/","1","bw4"
"5","Kamera Terminal Wonogiri 1","8","-","http://203.130.228.60:91/","1","wn1"
"6","Kamera Terminal Wonogiri 2","8",,"http://203.130.228.60:92/","1","wn2"
"7","Kamera Terminal Arjosari 1","9",,"http://203.130.228.60:96/","1","ml1"
"8","Kamera Terminal Arjosari 2","9",,"http://203.130.228.60:97/","1","ml2"
"9","Kamera Terminal Arjosari 3","9",,"http://203.130.228.60:98/","1","ml3"
"10","Kamera Termina Arjosari 4","9",,"http://203.130.228.60:99/","1","ml4"
"11","Kamera Termina Wonogiri 3","8",,"http://203.130.228.60:93/","1","wn3"
"12","Kamera Termina Wonogiri 4","8",,"http://203.130.228.60:94/","1","wn4"
"13","Kamera Terminal Cilacap 2","10",,"http://203.130.228.60:8002/","1","cl2"
"14","Kamera Terminal Cilacap 3","10",,"http://203.130.228.60:8003/","1","cl3"
"15","Kamera Terminal Cilacap 4","10",,"http://203.130.228.60:8004/","1","cl4"
"16","Kamera Terminal Cilacap 1","10",,"http://203.130.228.60:8001/","1","cl1"
"17","Kamera Terminal Sukabumi 1","11",,"http://203.130.228.60:8005/","1","sk1"
"18","Kamera Terminal Sukabumi 2","11",,"http://203.130.228.60:8006/","1","sk2"
"19","Kamera Terminal Sukabumi 3","11",,"http://203.130.228.60:8007/","1","sk3"
"20","Kamera Terminal Sukabumi 4","11",,"http://203.130.228.60:8009/","1","sk4"
"21","Keberangkatan Bus AKAP Dalam","3",,"http://203.130.228.59:8887/","1","jg1"
"22","Keberangkatan Bus AKAP Luar","3",,"http://203.130.228.59:8887/","1","jg2"
"23","Ruang Tunggu Penumpang Depan","3",,"http://203.130.228.59:8887/","1","jg3"
"24","Ruang Tunggu Penumpang Belakang","3",,"http://203.130.228.59:8887/","1","jg4"
"25","Kedatangan Bus","3",,"http://203.130.228.59:8887/","1","jg5"
"26","Ruang Tunggu Zona 1","3",,"http://203.130.228.59:8887/","1","jg6"
"27","Pintu Masuk Pembelian Tiket","5",,"http://203.130.228.59:8887/","1","sl1"
"28","Kedatangan Bus","5",,"http://203.130.228.59:8887/","1","sl2"
"29","Pintu Bus Keluar Barat","5",,"http://203.130.228.59:8887/","1","sl3"
"30","Ruang Tunggu Barat","5",,"http://203.130.228.59:8887/","1","sl4"
"31","Pintu Keluar Bus Timur","5",,"http://203.130.228.59:8887/","1","sl5"
"32","Ruang Tunggu Timur","5",,"http://203.130.228.59:8887/","1","sl6"
"33","Kedatangan Bus","6",,"http://203.130.228.59:8887/","1","kl1"
"34","Gedung Keberangkatan","6",,"http://203.130.228.59:8887/","1","kl2"
"35","Jalur Kedatangan Bus","6",,"http://203.130.228.59:8887/","1","kl3"
"36","Ruang Tunggu Zona 1","6",,"http://203.130.228.59:8887/","1","kl4"
"37","Jalur Keberangkatan","6",,"http://203.130.228.59:8887/","1","kl5"
"38","Ruang Tunggu Zona 2","6",,"http://203.130.228.59:8887/","1","kl6"
"39","Jalur Keberangkatan","4",,"http://203.130.228.59:8887/","1","sd1"
"40","Gedung Keberangkatan","4",,"http://203.130.228.59:8887/","1","sd2"
"41","Ruang Tunggu Zona 1","4",,"http://203.130.228.59:8887/","1","sd3"
"42","Pengendapan Bus","4",,"http://203.130.228.59:8887/","1","sd4"
"43","Ruang Tunggu Zona 2","4",,"http://203.130.228.59:8887/","1","sd5"
"44","Jalur Keberangkatan Gedung Baru","4",,"http://203.130.228.59:8887/","1","sd6"
